THREAD 2591966080: Solving the knight's tour problem for a 8x8 board
THREAD 2591966080: 2 moves possible after move #1; creating threads
THREAD 188874752: 5 moves possible after move #2; creating threads
THREAD 189411328: 5 moves possible after move #2; creating threads
THREAD 189947904: 7 moves possible after move #3; creating threads
THREAD 190484480: 7 moves possible after move #3; creating threads
THREAD 191021056: 7 moves possible after move #3; creating threads
THREAD 191557632: 5 moves possible after move #4; creating threads
THREAD 192094208: 7 moves possible after move #3; creating threads
THREAD 192630784: 7 moves possible after move #4; creating threads
THREAD 193167360: 7 moves possible after move #4; creating threads
THREAD 193703936: 7 moves possible after move #4; creating threads
THREAD 194240512: 3 moves possible after move #3; creating threads
THREAD 194777088: 7 moves possible after move #4; creating threads
THREAD 195850240: 7 moves possible after move #4; creating threads
THREAD 195313664: 3 moves possible after move #3; creating threads
THREAD 196386816: 3 moves possible after move #4; creating threads
THREAD 196923392: 7 moves possible after move #4; creating threads
THREAD 197459968: 3 moves possible after move #4; creating threads
THREAD 198533120: 5 moves possible after move #3; creating threads
THREAD 197996544: 7 moves possible after move #4; creating threads
THREAD 199069696: 3 moves possible after move #4; creating threads
THREAD 199606272: 7 moves possible after move #4; creating threads
THREAD 200142848: 5 moves possible after move #4; creating threads
THREAD 201216000: 7 moves possible after move #4; creating threads
THREAD 201752576: 3 moves possible after move #5; creating threads
THREAD 200679424: 4 moves possible after move #4; creating threads
THREAD 202289152: 5 moves possible after move #4; creating threads
THREAD 202825728: 5 moves possible after move #4; creating threads
THREAD 203362304: 7 moves possible after move #5; creating threads
THREAD 203898880: 7 moves possible after move #5; creating threads
THREAD 204435456: 7 moves possible after move #4; creating threads
THREAD 204972032: 4 moves possible after move #4; creating threads
THREAD 205508608: 7 moves possible after move #4; creating threads
THREAD 206045184: 5 moves possible after move #4; creating threads
THREAD 206581760: 5 moves possible after move #4; creating threads
THREAD 207654912: 3 moves possible after move #5; creating threads
THREAD 207118336: 5 moves possible after move #3; creating threads
THREAD 208728064: 7 moves possible after move #4; creating threads
THREAD 208191488: 3 moves possible after move #3; creating threads
THREAD 209264640: 3 moves possible after move #3; creating threads
THREAD 209801216: 3 moves possible after move #5; creating threads
THREAD 210337792: 5 moves possible after move #5; creating threads
THREAD 210874368: 7 moves possible after move #5; creating threads
THREAD 212484096: 5 moves possible after move #5; creating threads
THREAD 211947520: 5 moves possible after move #5; creating threads
THREAD 211410944: 6 moves possible after move #5; creating threads
THREAD 213020672: 2 moves possible after move #5; creating threads
THREAD 213557248: 3 moves possible after move #4; creating threads
THREAD 214630400: 3 moves possible after move #5; creating threads
THREAD 215166976: 3 moves possible after move #4; creating threads
THREAD 214093824: 3 moves possible after move #5; creating threads
THREAD 215703552: 3 moves possible after move #4; creating threads
THREAD 216776704: 7 moves possible after move #4; creating threads
THREAD 216240128: 7 moves possible after move #4; creating threads
THREAD 217313280: 7 moves possible after move #5; creating threads
THREAD 220532736: 7 moves possible after move #4; creating threads
THREAD 217849856: 3 moves possible after move #5; creating threads
THREAD 218386432: 5 moves possible after move #5; creating threads
THREAD 218923008: 5 moves possible after move #5; creating threads
THREAD 219459584: 5 moves possible after move #5; creating threads
THREAD 219996160: 7 moves possible after move #5; creating threads
THREAD 221069312: 5 moves possible after move #5; creating threads
THREAD 221605888: 7 moves possible after move #5; creating threads
THREAD 222142464: 3 moves possible after move #4; creating threads
THREAD 222679040: 7 moves possible after move #4; creating threads
THREAD 223215616: 4 moves possible after move #5; creating threads
THREAD 223752192: 7 moves possible after move #5; creating threads
THREAD 224825344: 7 moves possible after move #5; creating threads
THREAD 224288768: 7 moves possible after move #5; creating threads
THREAD 225361920: 5 moves possible after move #5; creating threads
THREAD 225898496: 7 moves possible after move #5; creating threads
THREAD 226435072: 3 moves possible after move #5; creating threads
THREAD 227508224: 3 moves possible after move #5; creating threads
THREAD 226971648: 5 moves possible after move #5; creating threads
THREAD 228044800: 2 moves possible after move #5; creating threads
THREAD 228581376: 3 moves possible after move #5; creating threads
THREAD 229654528: 5 moves possible after move #5; creating threads
THREAD 229117952: 3 moves possible after move #5; creating threads
THREAD 230191104: 3 moves possible after move #5; creating threads
THREAD 231264256: 7 moves possible after move #5; creating threads
THREAD 230727680: 5 moves possible after move #5; creating threads
THREAD 231800832: 6 moves possible after move #5; creating threads
THREAD 232337408: 5 moves possible after move #5; creating threads
THREAD 232873984: 5 moves possible after move #4; creating threads
THREAD 233410560: 3 moves possible after move #5; creating threads
THREAD 233947136: 5 moves possible after move #5; creating threads
THREAD 234483712: 7 moves possible after move #4; creating threads
THREAD 235020288: 7 moves possible after move #5; creating threads
THREAD 235556864: 3 moves possible after move #5; creating threads
THREAD 236093440: 2 moves possible after move #4; creating threads
THREAD 236630016: 3 moves possible after move #5; creating threads
THREAD 237166592: 3 moves possible after move #5; creating threads
THREAD 238239744: 2 moves possible after move #5; creating threads
THREAD 237703168: 3 moves possible after move #5; creating threads
THREAD 238776320: 5 moves possible after move #5; creating threads
THREAD 239312896: 5 moves possible after move #5; creating threads
THREAD 239849472: 6 moves possible after move #5; creating threads
THREAD 240386048: 5 moves possible after move #5; creating threads
THREAD 240922624: 7 moves possible after move #5; creating threads
THREAD 241459200: 7 moves possible after move #4; creating threads
THREAD 241995776: 7 moves possible after move #4; creating threads
THREAD 242532352: 3 moves possible after move #5; creating threads
THREAD 244142080: 2 moves possible after move #4; creating threads
THREAD 243605504: 3 moves possible after move #5; creating threads
THREAD 243068928: 7 moves possible after move #4; creating threads
THREAD 244678656: 5 moves possible after move #5; creating threads
THREAD 245751808: 3 moves possible after move #4; creating threads
THREAD 245215232: 3 moves possible after move #5; creating threads
THREAD 246288384: 5 moves possible after move #5; creating threads
THREAD 246824960: 7 moves possible after move #5; creating threads
THREAD 247898112: 7 moves possible after move #5; creating threads
THREAD 248434688: 5 moves possible after move #5; creating threads
THREAD 248971264: 7 moves possible after move #5; creating threads
THREAD 249507840: 2 moves possible after move #5; creating threads
THREAD 250044416: 5 moves possible after move #5; creating threads
